,T_Creation Date,T_Status,T_SRN,T_Type of SR,T_Tree Location,T_Street Address,T_Zip,T_X-Coordinate,T_Y-Coordinate,T_Ward,T_Police_District,T_Community_Area,T_Latitude,T_Longitude
107,2018-12-14T00:00:00.000,Completed,18-03361135,Tree Trim,Location Not Recorded,2630 N GREENVIEW AVE,60614,1165891.43497014,1917683.12819258,32,19,7,41.929709659360896,-87.6658096492182
108,2018-12-14T00:00:00.000,Open,18-03360608,Tree Trim,Location Not Recorded,5953 N GREENVIEW AVE,60660,1165249.92991882,1939557.72490834,48,20,77,41.98974815567806,-87.66754244201813
109,2018-12-14T00:00:00.000,Open,18-03360582,Tree Trim,Location Not Recorded,1437 W ELMDALE AVE,60660,1165645.8041323,1939960.79139685,48,20,77,41.990845726468876,-87.6660748007718
110,2018-12-14T00:00:00.000,Completed,18-03359855,Tree Trim,Location Not Recorded,2916 N MONITOR AVE,60634,1136879.98420227,1918788.29207791,30,25,19,41.93331265171909,-87.7723933852339
111,2018-12-14T00:00:00.000,Completed,18-03361329,Tree Trim,Location Not Recorded,2634 W BELDEN AVE,60647,1158249.05281309,1915173.71009233,1,14,22,41.92298346942591,-87.69396207658775
112,2018-12-14T00:00:00.000,Completed,18-03361313,Tree Trim,Location Not Recorded,2951 W BELDEN AVE,60647,1156279.10677029,1915262.24690634,1,14,22,41.92326649835458,-87.70119795021785
113,2018-12-14T00:00:00.000,Open,18-03359440,Tree Trim,Parkway,3313 S CARPENTER ST,60608,1169854.76657214,1882854.82062876,11,9,60,41.834052735643,-87.65226126385966
114,2018-12-14T00:00:00.000,Open,18-03360352,Tree Trim,Parkway,5857 W MONTROSE AVE,60634,1136424.31189534,1928654.7906682,38,16,15,41.96039550663738,-87.77383129001568
115,2018-12-14T00:00:00.000,Completed,18-03361308,Tree Trim,Location Not Recorded,3634 W BELDEN AVE,60647,1151644.37679,1915043.43081083,35,25,22,41.922758539332335,-87.71823346069237
116,2018-12-14T00:00:00.000,Open,18-03360517,Tree Trim,Location Not Recorded,1451 W ELMDALE AVE,60660,1165552.26492715,1939958.69712154,48,20,77,41.99084197910068,-87.66641891913557
117,2018-12-14T00:00:00.000,Completed,18-03359851,Tree Trim,Location Not Recorded,2315 N WASHTENAW AVE,60647,1157809.56971106,1915315.33876609,1,14,22,41.92338108958385,-87.69557301983649
118,2018-12-14T00:00:00.000,Open,18-03358819,Tree Trim,Parkway,10308 S AVENUE M,60617,1201498.25592159,1837214.98638532,10,4,52,41.70806748492661,-87.5377054575607
119,2018-12-14T00:00:00.000,Open,18-03358864,Tree Trim,Location Not Recorded,1509 E 69TH PL,60637,1187651.4642906,1859213.0798118,5,3,43,41.76877236744533,-87.5877143166719
120,2018-12-13T00:00:00.000,Open,18-03351249,Tree Trim,Parkway,3055 N ORIOLE AVE,60707,1124894.72772907,1919443.8415706,29,25,17,41.93531829743308,-87.81642481651464
121,2018-12-13T00:00:00.000,Open,18-03347557,Tree Trim,Parkway,2616 N MCVICKER AVE,60639,1135621.74107933,1916757.19808795,30,25,19,41.92776159948321,-87.77706584836822
122,2018-12-13T00:00:00.000,Open,18-03352612,Tree Trim,Parkway,2735 W COYLE AVE,60645,1156859.54541379,1945995.76900474,50,24,2,42.00758924896867,-87.69822814847012
123,2018-12-13T00:00:00.000,Open,18-03354708,Tree Trim,Parkway,12154 S RACINE AVE,60643,1170529.06390294,1824162.86271652,34,5,53,41.67297959884539,-87.65149382581369
124,2018-12-13T00:00:00.000,Open,18-03348910,Tree Trim,Parkway,5048 N KEELER AVE,60630,1147474.18927449,1933218.22940709,39,17,14,41.97271274851658,-87.73308854826733
125,2018-12-13T00:00:00.000,Open,18-03349335,Tree Trim,Parkway,2711 S LOWE AVE,60616,1172406.43208159,1886590.88693125,11,9,60,41.844248923874886,-87.64278842962618
126,2018-12-13T00:00:00.000,Open,18-03351933,Tree Trim,Parkway,319 W 23RD PL,60616,1174363.90833186,1888708.60030303,25,9,34,41.85001667965137,-87.63554174355768
127,2018-12-13T00:00:00.000,Open,18-03350062,Tree Trim,Parkway,7822 S HOYNE AVE,60620,1163721.66168467,1852767.44410549,18,6,71,41.751620410850876,-87.67560970363597
128,2018-12-13T00:00:00.000,Open,18-03347231,Tree Trim,Parkway,7059 N OVERHILL AVE,60631,1124100.38841875,1946212.16063142,41,16,9,42.008786640472856,-87.8187532232702
129,2018-12-13T00:00:00.000,Open,18-03347410,Tree Trim,Parkway,731 N HARDING AVE,60624,1149924.25178146,1904593.96498182,37,11,23,41.8941178743955,-87.7248261878176
130,2018-12-13T00:00:00.000,Completed,18-03350528,Tree Trim,Location Not Recorded,6015 S NAGLE AVE,60638,1134432.90001291,1863952.70088979,13,8,64,41.7828791972287,-87.78267882943891
131,2018-12-13T00:00:00.000,Open,18-03349836,Tree Trim,Location Not Recorded,4418 W RICE ST,60651,1146762.50996699,1905304.0400291,37,11,23,41.89612734341256,-87.73642023321925
132,2018-12-13T00:00:00.000,Open,18-03352433,Tree Trim,Parkway,6215 N OAK PARK AVE,60631,1130623.66679653,1940844.77439888,41,16,10,41.99394796578795,-87.79487598718559
133,2018-12-13T00:00:00.000,Open,18-03352278,Tree Trim,Parkway,8841 S CONSTANCE AVE,60617,1190056.31012316,1846717.62032773,8,4,48,41.734426165609065,-87.57930088799519
134,2018-12-13T00:00:00.000,Open,18-03352645,Tree Trim,Parkway,2739 W COYLE AVE,60645,1156833.14541379,1945994.86900474,50,24,2,42.007587316709866,-87.6983253042842
135,2018-12-13T00:00:00.000,Open,18-03346732,Tree Trim,Location Not Recorded,3806 N FRANCISCO AVE,60618,1156373.05770522,1925160.85281726,33,17,16,41.950427074820595,-87.70058429087003
136,2018-12-13T00:00:00.000,Open,18-03351479,Tree Trim,Parkway,2227 W SUPERIOR ST,60612,1161420.97529161,1904965.22282789,1,12,24,41.89490512997723,-87.68259192249481
137,2018-12-13T00:00:00.000,Open,18-03352802,Tree Trim,Parkway,8059 S WOOD ST,60620,1165749.99609731,1851240.59029677,17,6,71,41.747387715213364,-87.66822004177702
138,2018-12-13T00:00:00.000,Open - Dup,18-03351499,Tree Trim,Parkway,6336 W WAVELAND AVE,60634,1133478.56640854,1923936.52448209,36,16,17,41.9475003605399,-87.78477251688847
139,2018-12-13T00:00:00.000,Completed,18-03353647,Tree Trim,Location Not Recorded,6015 S NAGLE AVE,60638,1134432.90001291,1863952.70088979,13,8,64,41.7828791972287,-87.78267882943891
140,2018-12-13T00:00:00.000,Open,18-03350825,Tree Trim,Parkway,6061 W MATSON AVE,60646,1134684.87998532,1940196.73661756,39,16,10,41.99209865026593,-87.77995227772716
