,creation_date,Status,SRN,Type of SR,Street Address,Zip,X-Coordinate,Y-Coordinate,Ward,Police_District,Community_Area,Latitude,Longitude,number_of_black_carts_delivered
60,2018-12-17T00:00:00.000,Open - Dup,18-03379481,Garbage Cart Black Maintenance/Replacement,4123 W 21ST PL,60623,1149226.956,1889439.075,24,10,29,41.85242852,-87.72816512,0
61,2018-12-17T00:00:00.000,Open,18-03380453,Garbage Cart Black Maintenance/Replacement,3347 N KILPATRICK AVE,60641,1144592.866,1921845.837,30,17,15,41.94209246,-87.7438393,0
62,2018-12-17T00:00:00.000,Open,18-03383856,Garbage Cart Black Maintenance/Replacement,4961 W FOSTER AVE,60630,1142263.072,1934118.01,45,16,12,41.97516517,-87.75277011,0
63,2018-12-17T00:00:00.000,Open,18-03381703,Garbage Cart Black Maintenance/Replacement,2301 N MASON AVE,60639,1136350.43,1914678.343,36,25,19,41.92211948,-87.7742936,0
64,2018-12-17T00:00:00.000,Open,18-03383929,Garbage Cart Black Maintenance/Replacement,5546 S MULLIGAN AVE,60638,1134992.89,1867064.93,13,8,56,41.79094108,-87.78068201,0
65,2018-12-17T00:00:00.000,Open,18-03379367,Garbage Cart Black Maintenance/Replacement,8500 S ABERDEEN ST,60620,1170468.649,1848443.39,21,6,71,41.73951688,-87.65115454,0
66,2018-12-17T00:00:00.000,Open,18-03382718,Garbage Cart Black Maintenance/Replacement,5761 N RICHMOND ST,60659,1155649.344,1938133.57,40,20,2,41.98654632,-87.70276336,0
67,2018-12-17T00:00:00.000,Open,18-03380196,Garbage Cart Black Maintenance/Replacement,342 N HAMLIN AVE,60624,1151002.335,1901787.75,37,11,26,41.88655704,-87.72108717,0
68,2018-12-17T00:00:00.000,Open,18-03383732,Garbage Cart Black Maintenance/Replacement,3946 W 109TH ST,60655,1151879.91,1831998.623,19,22,74,41.69497089,-87.71995153,0
69,2018-12-17T00:00:00.000,Open,18-03378950,Garbage Cart Black Maintenance/Replacement,3924 W NORTH AVE,60647,1149877.807,1910346.52,26,25,23,41.91001277,-87.7249773,0
